"Destination","Destination State/Country","Difficulty Level","Surf Break","Photos","Peak Surf Season Begins","Peak Surf Season Ends"
"Rockaway Beach","Tillamook, Oregon","1","Beach Break","https://mediaim.expedia.com/destination/1/19d2cd3c6b424a6b7a330e695a5f6906.jpg","23/8/2024","17/10/2024"
"Pipeline","Oahu, Hawaii","4","Reef Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/8pCRjOTSTKq9x5_JRq_jtA/8oj0TAGAJSviMKfpNt_F5P78U9a7tZMiQVkkCctJNNagM_3gx8qaDdQD0pqFP0QYsPpdlWJ-xRy9cqFcdA1vBDM-28Y-ZMkZ6-vCwQxL6_rvsKyl1K8PalzvK4JBF-48/UlAb0lPpPDPyWkQnKJJLMIJvNjTx38cTGe1WDrJQtuo)","22/7/2024","31/8/2024"
"The Bubble","Fuerteventura, Canary Islands","3","Reef Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/HxdDLyAm2_uWc5j4za6cXg/z_04InlHUwCBsP8pEMxmzv48SY1SpW0wc7KwekY1H8GdJw2eJRkf_T6vw_9Gp0v_Kqa3L6zSN5Fc_oOK_QGJJdz7vnqnGMKCu6U9wil9eReP9mIEU5buRKpGCOK68zjp/olMz-_TOdDAuPE1hCg0YQyXGdpPUSp0xPG9hFVKxXMI","1/6/2024","1/9/2024"
"Pasta Point","Maldives","3","Reef Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/n2lYEGRFXi2obNa5tD2Sng/-ALGsW6vHICgc6XjK0CmqROCmwmymlmQP2x6KdLfrCk1FMjrV5IcN1QEcJ3QecDRNSwR0JwfmON1aecBoZD4rz-NRAR3W8_EBUmw-h0UySP942dz9NbX-caukepfRiARDLcaSgw07ElGx4QFLr6vLA/rGmVk4O8d2b4Itp7jJtTNLWYdfh2V98wB2g43YlsD4k","1/4/2024","31/5/2024"
"Superbank","Gold Coast, Australia","4","Point Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/jMvoMf4bKGkPx1N8Nljauw/6iXih_y9j6N4aHLrsEexGGigwANtRHuzzCcUSe3-vudv-WfKChdvreeymQzE2vE_OekDjxvGjffnHB0sL44Ty1DDOT3mlOS-5xyvcMn-7whaqWngGhhnzTnkI3Ki2Sbw/l5_xslCoekZgab76S86egw-E6V8yArqyu6S4V4dLCd4","28/11/2023","1/2/2024"
"Supertubes","Jeffreys Bay, South Africa","5","Point Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/Seu9s8X-JaPinthcmJJ4DA/IPB5gaiIoiYaNqmCKMwTcNyk6h3dy-eUY7Vhw-leH9ueJ6SOIpI3ca7p3DcmFGW6DAJ8327NLVRIq2RkBSC-SvDvGvG45E3N__ugJJbBrzjJKhOAYzzaq5n5Zwy70rmY/zOnbugAYZ4N-pR6on751UhdoIuy6ZuskyKzF9fSvdr0","1/8/2024","9/10/2024"
"Playa Chicama","Lima, Peru","3","Point Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/wtR9tdaX2QT6z3_MQQmWsA/0DQpPXKing9yR3B6juFjZEF6Gepn6pCJNGTWmdmsaLt7Pa7zxjjksZ8O7YTYObVCJpqd0QCo6pAzVpcdg_xCrw0Pxz8f-zaTbbwZk3bweSKzQRuiqFNoMIvOo3MS7K-w/gkDtUEK8HZnQWYAAgayUaCLFTkMn4Df-SZddV6mJDsk","1/5/2024","28/6/2024"
"Manu Bay","Raglan, New Zealand","2","Point Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/16FYY9vSD0hr6g5QA8wKWg/DOw2Mrxh7qQAgLUU34LTnUuU3E5hsbaAVb2iK39Ccb1KKNyXincnYqJm0ZOj6SqxVTJHCZOqdLx4T-dwAxloU7wNoAEwkVf0lvNknajo3WYeKtLfFDFWjZUKFsNRI4N0/dXWw4mUX7k848RVyt3v6zz6HseCTvO9VBmwjnJmagBU","1/12/2023","31/1/2024"
"Skeleton Bay","Namibia ","5","Point Break","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/kNPfUwEZWLBYZ89mho01lg/suB-FtOZqk7SVDQtKFtVogA9ZHy5SMhcB44HpjGtwlGHNUWfiv4juRfEKsGNlHhgVAcPP-1hF605EyKfsdGNCv7AiGgNNtSCguiKq72HbCeBy0tkind54GOtI_4G74buPXspxozxHdGSfXx0OPVL8yclxRIPsKdZXNI-lcysEM6YOm8PFbniveTQeIC-pzGBFaGTtFLn4ffbDbqQtS-_gA/MYr9rRZKvompgsb17NPa86sjCvjSVOSl6V8JQNBlIqw","1/9/2024","30/11/2024"
"Kitty Hawk","Outer Banks, North Carolina","3","Outer Banks","https://v5.airtableusercontent.com/v3/u/25/25/1706119200000/2z1q0YjFRY_p9Sb8bZsnGA/VbjB5f0DjpkeL72Nhg3D-yi2TnO3JKsHYVSQIB1eQWP2wqJUbAPvZ0Yzm7O_Vb83RNnOMHa4cp8iqm2c7dlnBeqsbP4WtbrfnN5F1uXKGIcGvk73E3SaKYySDALfZv6e/Etb1m3_gdCN3khLRbGqqYXTPtJ7dRnlWmuOKgqgwPaA","9/8/2024","18/10/2024"
"Bains-Militaires","Nice, France","0","Je te Break","https://www.lesoir.be/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2016/10/21/node_65078/2427486/public/2016/10/21/B9710035642Z.1_20161021182823_000+GPF7PV5KB.1-0.jpg?itok=vp-S9UtM1477067340","30/5/2023","09/2/2024"
